playlist_uri,owner,streams,stream30s,dau,wau,mau,mau_previous_month,mau_both_months,users,skippers,owner_country,n_tracks,n_local_tracks,n_artists,n_albums,monthly_stream30s,monthly_owner_stream30s,token_1,token_2,token_3,genre_1,genre_2,genre_3,mood_1,mood_2,mood_3,trending,hot,rising,skip,change_rate,rank,tier
spotify:user:spotify:playlist:1gxinVbwRfBTm8u9Ilg2Qo,spotify,6673,5189,475,3009,9361,9086,1432,19761,213,US,204,0,40,55,173773,0,laugh,list,NA,Spoken & Audio,Pop,Reggae,Other,Easygoing,Aggressive,0.050742442046789876,0.321440017092191,0.507453786523554,0.010778806740549568,0,256,Top 101-500
spotify:user:spotify:playlist:76yJDDnhV3TPgJ4R6EmrLn,spotify,156560,64060,8300,38256,130302,101870,21651,298327,7066,US,186,0,173,178,1717547,1,,NA,NA,Rap,Pop,R&B,Defiant,Excited,Cool,0.06369817807861737,0.29359487958742,0.5612304670675189,0.02368541902006858,0,56,Top 100
spotify:user:spotify:playlist:473bnHuzXcRUsDmSkdUrmz,spotify,5368,4041,528,2960,8847,8813,1217,20393,291,US,76,0,38,36,124595,0,opera,free,mind,Classical,Other,Pop,Stirring,Tender,Romantic,0.05968124788063751,0.33457669266417994,0.5009626274065685,0.014269602314519687,0,300,Top 101-500
spotify:user:spotify:playlist:1vfys0yYhZEyJ9yvnULyM2,spotify,19561,10840,1416,12613,36842,27103,3246,89170,1206,US,98,0,48,48,396833,0,,NA,NA,Indie Rock,Alternative,Rap,Defiant,Excited,Urgent,0.03843439552684436,0.3423538352966723,0.5761513800922667,0.013524728047549624,0,153,Top 101-500
spotify:user:f44d2395876db905a928124ea3c00bd3:playlist:00sP0XsnG64tXgaBUJ8u2c,f44d2395876db905a928124ea3c00bd3,14164,8934,858,5143,12858,9274,1863,27838,615,US,348,0,255,299,229271,52,hipster,morning,NA,Indie Rock,Alternative,Rock,Excited,Yearning,Brooding,0.06672888474101726,0.3999844454814124,0.5809687330562082,0.022092104317838927,0,216,Top 101-500
spotify:user:spotify:playlist:45mgsdGBbdwfWkn8SmChCW,spotify,7286,5039,605,5762,23976,16880,2260,58321,613,US,31,0,31,31,252454,0,slow,jams,NA,R&B,Pop,Dance & House,Sensual,Sophisticated,Romantic,0.025233566900233567,0.24032365699032365,0.5868415899745447,0.010510793710670256,0,200,Top 101-500
spotify:user:cb305f632c793f009882083e9e75f5b0:playlist:3MA1B86TKQJ5kO4m24DZFr,cb305f632c793f009882083e9e75f5b0,4096,2504,291,2584,8098,4302,1198,14736,216,US,95,0,84,90,123601,41,alternative,hits,updated,Alternative,Indie Rock,Rock,Defiant,Yearning,Brooding,0.03593479871573228,0.3190911336132378,0.6530645161290323,0.014657980456026058,0,301,Top 101-500
spotify:user:spotify:playlist:3N6nnNuShWpEmNSv2Vxvzm,spotify,3702,2402,383,1760,6920,8817,842,21824,306,US,40,0,39,40,64487,2,country,drinking,songs,Country & Folk,Rock,Pop,Rowdy,Upbeat,Yearning,0.055346820809248555,0.2543352601156069,0.439728029484654,0.014021260997067448,0,411,Top 101-500
spotify:user:spotify:playlist:2uaste7TLMJ9RjMh0Gw8mz,spotify,8554,6571,720,4838,15811,14740,1143,52361,861,US,67,0,63,65,181482,0,last,one,awake,Indie Rock,Alternative,Rock,Melancholy,Gritty,Yearning,0.0455379166403137,0.3059895009803302,0.5175280678210206,0.016443536219705505,0,251,Top 101-500
spotify:user:a19ebea5b5c28f3eff7f45167f7f3b1c:playlist:6XVhyMuFRS1212blJHTED4,a19ebea5b5c28f3eff7f45167f7f3b1c,293283,173753,18290,71891,206756,190026,59049,439699,11755,US,522,0,448,501,5098585,40,edm,updated,daily,Dance & House,Electronica,Pop,Excited,Aggressive,Energizing,0.08846176169010815,0.3477093772369363,0.5210821055390618,0.02673419771252607,0,15,Top 100
